source,matched_in,name,official_type,commune,lon,lat
osm,deis,Cruz Verde,,Huechuraba,-70.62048630000001,-33.3940923
osm,deis,Farmacias Ahumada,,Ñuñoa,-70.6005099,-33.4535398
osm,deis,Cruz Verde,,Peñalolén,-70.5781801,-33.4863072
osm,deis,Cruz Verde,,San Joaquín,-70.6137483,-33.50848100000001
osm,deis,Cruz Verde,,San Miguel,-70.6569233,-33.50987920000001
osm,deis,Cruz Verde,,Ñuñoa,-70.61041220000001,-33.448186799999995
osm,deis,Farmacias Ahumada,,Huechuraba,-70.6702734,-33.351398499999995
osm,deis,Cruz Verde,,Estación Central,-70.68778820000001,-33.45347279999999
osm,deis,Farmacias Ahumada,,Santiago,-70.6511075,-33.4351617
osm,deis,Farmacias del Dr. Simi,,Macul,-70.59917,-33.484990499999995
osm,deis,Cruz Verde,,Santiago,-70.657971,-33.439067300000005
osm,deis,Cruz Verde,,La Florida,-70.5536721,-33.5345826
osm,deis,Cruz Verde,,Puente Alto,-70.5515483,-33.5598405
osm,deis,SalcoBrand,,Puente Alto,-70.5591529,-33.5577094
osm,deis,,,Maipú,-70.7913266,-33.5145639
osm,deis,Cruz Verde,,La Florida,-70.5718488,-33.540352
osm,deis,SalcoBrand,,La Florida,-70.5740032,-33.535505099999995
osm,deis,Cruz Verde,,La Florida,-70.5835423,-33.5394907
osm,deis,Belén,,Maipú,-70.7872846,-33.52442379999999
osm,deis,Farmacias Ahumada,,Las Condes,-70.513992,-33.4013711
osm,deis,Farmacias Ahumada,,Pudahuel,-70.8503425,-33.4517577
osm,deis,Cruz Verde,,Ñuñoa,-70.6023025,-33.45425649999999
osm,deis,Farmacia Olímpica,,Puente Alto,-70.5784829,-33.5995557
osm,deis,Cruz Verde,,Vitacura,-70.5969695,-33.3944211
osm,deis,Farmacia Gireno,,Lo Espejo,-70.7003935,-33.52790769999999
osm,deis,Farmacia Mebal,,Maipú,-70.7752905,-33.5100637
